basename	readIndex	25%-percentile	median	averageQuality	75%-percentile
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	31	20	27	23.835926	31
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	5	30	32	30.873854	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	6	31	33	31.286093	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	7	31	33	31.176113	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	12	28	32	29.386906	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	1	31	33	30.968922	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	2	30	32	30.636850	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	13	28	31	29.111127	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	25	25	30	27.283498	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	28	25	29	26.840632	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	16	27	31	28.734180	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	27	25	29	27.016595	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	34	13	25	20.838756	29
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	21	28	31	29.087767	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	32	18	26	22.717542	30
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	15	26	31	28.318929	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	17	28	31	29.601955	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	22	27	31	28.437002	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	19	28	31	29.655450	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	4	30	32	30.535993	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	8	30	32	30.919673	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	11	29	32	30.108157	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	3	29	32	30.331997	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	30	22	28	25.010613	31
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	9	29	32	30.272949	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	26	25	29	27.166840	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	29	24	29	26.167869	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	33	16	25	21.951501	30
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	0	32	33	31.728894	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	18	29	32	29.772365	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	14	27	31	28.688672	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	24	26	30	27.800013	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	23	26	30	28.045658	32
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	20	28	31	29.475585	33
pickrell-NA19201_yale-KNBJXDZ-pickrell-NA19201_yale	10	29	32	30.318221	33
