basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
AHSSOOT-pickrell-NA19203_argonne	1	0	0.0	0.000000	564229395	11938049
AHSSOOT-pickrell-NA19203_argonne	2	1	1.7285519971776204E-7	0.000000	564229395	12294714
AHSSOOT-pickrell-NA19203_argonne	3	58129	0.01004789990439379	0.000103	564229395	12332251
AHSSOOT-pickrell-NA19203_argonne	4	61170	0.010573552566735504	0.000108	564229395	12346688
AHSSOOT-pickrell-NA19203_argonne	5	63578	0.010989787887655875	0.000113	564229395	12355054
AHSSOOT-pickrell-NA19203_argonne	6	58330	0.010082643799537059	0.000103	564229395	12367807
AHSSOOT-pickrell-NA19203_argonne	7	56358	0.009741773345693632	0.000100	564229395	12376080
AHSSOOT-pickrell-NA19203_argonne	8	53749	0.00929079412962999	0.000095	564229395	12383858
AHSSOOT-pickrell-NA19203_argonne	9	52748	0.009117766074712512	0.000093	564229395	12390224
AHSSOOT-pickrell-NA19203_argonne	10	48593	0.00839955271988521	0.000086	564229395	12398719
AHSSOOT-pickrell-NA19203_argonne	11	49683	0.00858796488757757	0.000088	564229395	12400734
AHSSOOT-pickrell-NA19203_argonne	12	50014	0.00864517995868415	0.000089	564229395	12402946
AHSSOOT-pickrell-NA19203_argonne	13	52354	0.009049661126023713	0.000093	564229395	12402398
AHSSOOT-pickrell-NA19203_argonne	14	51293	0.008866261759123167	0.000091	564229395	12405525
AHSSOOT-pickrell-NA19203_argonne	15	67902	0.011737213771235478	0.000120	564229395	12389007
AHSSOOT-pickrell-NA19203_argonne	16	56059	0.009690089640978021	0.000099	564229395	12401025
AHSSOOT-pickrell-NA19203_argonne	17	58056	0.010035281474814393	0.000103	564229395	12398942
AHSSOOT-pickrell-NA19203_argonne	18	61153	0.010570614028340301	0.000108	564229395	12395912
AHSSOOT-pickrell-NA19203_argonne	19	58099	0.010042714248402257	0.000103	564229395	12399099
AHSSOOT-pickrell-NA19203_argonne	20	68898	0.011909377550154369	0.000122	564229395	12388186
AHSSOOT-pickrell-NA19203_argonne	21	69965	0.01209381404825322	0.000124	564229395	12387138
AHSSOOT-pickrell-NA19203_argonne	22	92839	0.01604770388659731	0.000165	564229395	12364288
AHSSOOT-pickrell-NA19203_argonne	23	105229	0.01818937981110038	0.000187	564229395	12351842
AHSSOOT-pickrell-NA19203_argonne	24	131830	0.02278750097879257	0.000234	564229395	12325340
AHSSOOT-pickrell-NA19203_argonne	25	215982	0.037333611745441676	0.000383	564229395	12241010
AHSSOOT-pickrell-NA19203_argonne	26	208814	0.03609458567386476	0.000370	564229395	12248147
AHSSOOT-pickrell-NA19203_argonne	27	165592	0.02862343823166365	0.000293	564229395	12291752
AHSSOOT-pickrell-NA19203_argonne	28	211260	0.03651738949237441	0.000374	564229395	12245804
AHSSOOT-pickrell-NA19203_argonne	29	168272	0.029086690166907254	0.000298	564229395	12288700
AHSSOOT-pickrell-NA19203_argonne	30	177489	0.030679896542705865	0.000315	564229395	12279602
AHSSOOT-pickrell-NA19203_argonne	31	213343	0.0368774468733865	0.000378	564229395	12243654
AHSSOOT-pickrell-NA19203_argonne	32	226802	0.03920390500638787	0.000402	564229395	12230164
AHSSOOT-pickrell-NA19203_argonne	33	222574	0.038473073221981166	0.000394	564229395	12233427
AHSSOOT-pickrell-NA19203_argonne	34	213460	0.03689767093175348	0.000378	564229395	12238169
AHSSOOT-pickrell-NA19203_argonne	35	214347	0.03705099349390314	0.000380	564229395	12233051
AHSSOOT-pickrell-NA19203_argonne	36	215739	0.03729160793191026	0.000382	564229395	12225233
AHSSOOT-pickrell-NA19203_argonne	37	195940	0.03386924783269829	0.000347	564229395	12237073
AHSSOOT-pickrell-NA19203_argonne	38	275128	0.04755730538794843	0.000488	564229395	12145604
AHSSOOT-pickrell-NA19203_argonne	39	272233	0.04705688958476551	0.000482	564229395	12135267
AHSSOOT-pickrell-NA19203_argonne	40	228672	0.039527144229860076	0.000405	564229395	12165208
AHSSOOT-pickrell-NA19203_argonne	41	207103	0.03579883042714767	0.000367	564229395	12167446
AHSSOOT-pickrell-NA19203_argonne	42	287973	0.04977763042832308	0.000510	564229395	12059610
AHSSOOT-pickrell-NA19203_argonne	43	194533	0.0336260405666954	0.000345	564229395	12101543
AHSSOOT-pickrell-NA19203_argonne	44	240909	0.04164237330880633	0.000427	564229395	11989707
AHSSOOT-pickrell-NA19203_argonne	45	2994	5.175284679549795E-4	0.000005	564229395	12009062
AHSSOOT-pickrell-NA19203_argonne	46	0	0.0	0.000000	564229395	11624336
